time(h),Mean_0uM(uM),Stdev_0uM(uM),Sterr_0uM(uM),Mean_5uM(uM),Stdev_5uM(uM),Sterr_5uM(uM),Mean_10uM(uM),Stdev_10uM(uM),Sterr_10uM(uM),Mean_50uM(uM),Stdev_50uM(uM),Sterr_50uM(uM),Mean_100uM(uM),Stdev_100uM(uM),Sterr_100uM(uM),Mean_no_CueR(uM),Stdev_no_CueR(uM),Sterr_no_CueR(uM)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.052521231,0.135098124,0.077998938,0.075198728,0.019560665,0.011293355,0.077239004,0.161849628,0.11444497,0.081160572,0.01506396,0.008697181,0.200849257,0.077161197,0.044549038,0.160376858,0.096105498,0.055486535
1,0.031210191,0.041324673,0.023858811,0.099284579,0.003035276,0.001752417,0.108479068,0.217308434,0.153660267,0.092806041,0.001854891,0.001070922,0.106210191,0.120389933,0.06950716,0.185483015,0.088471657,0.051079135
1.5,0.049575372,0.083063053,0.047956476,0.153895072,0.015288795,0.00882699,0.109750928,0.224181073,0.158519957,0.147058824,0.007194727,0.004153878,0.120753715,0.122445638,0.070694022,0.224044586,0.058723374,0.033903956
2,0.040711253,0.065595449,0.03787155,0.128378378,0.001911099,0.001103374,0.093852676,0.217149533,0.153547907,0.134300477,0.001967308,0.001135826,0.1617569,0.121457531,0.070123538,0.206316348,0.056343349,0.032529848
2.5,0.028715499,0.038015022,0.021947983,0.144236884,0.007026101,0.004056521,0.067594065,0.197631062,0.139746264,0.167806041,0.00989275,0.005711582,0.197638004,0.12576247,0.072608996,0.197213376,0.024774967,0.014303834
3,0.015339703,0.041002901,0.023673036,0.141096979,0.021134511,0.012202016,0.094806572,0.193318358,0.136696722,0.183664547,0.017368521,0.01002772,0.202786624,0.12256772,0.070764506,0.234288747,0.022782993,0.013153767
3.5,0.04668259,0.079017923,0.045621019,0.138593005,0.028048194,0.016193633,0.11936937,0.189874838,0.134261785,0.190977742,0.015907092,0.009183964,0.241799363,0.128910126,0.074426296,0.244532909,0.028558433,0.016488219
4,0.006794055,0.070559926,0.040737792,0.132631161,0.037716109,0.021775406,0.095468998,0.190031668,0.134372681,0.198648649,0.016300554,0.009411129,0.246284501,0.126335323,0.072939733,0.248036093,0.026548738,0.015327921
4.5,0.017011677,0.088946876,0.051353503,0.13863275,0.041819352,0.024144414,0.149947006,0.18897012,0.133622053,0.207829889,0.029734458,0.017167198,0.272107219,0.128201781,0.074017333,0.253397028,0.039006754,0.02252056
5,0.011358811,0.088900909,0.051326964,0.147019078,0.067956447,0.039234673,0.191785904,0.209508093,0.148144593,0.227702703,0.034231163,0.019763371,0.286624204,0.111576406,0.064418668,0.247266454,0.04846636,0.027982066
