Time(h),Operator(uM),STDERR_Op,Venus(uM),STDERR_Venus,Op+CueR(uM),STDERR_Op+CueR,Venus+CueR,STDERR_Venus+CueR,Op+CueR+100uMCu,STDERR_Op+CueR+Cu,Venus+CueR+100uMCu,STDERR_Venus+CueR+Cu,Venus+GntR+100uM_Cu,STDERR_Venus+GntR+Cu,Venus+ Cu,STDERR_Venus,OCueR+Cu,STDERR_OCueR_Cu
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.160376858,0.055486535,0.191878981,0.014226217,0.052521231,0.077998938,0.153927813,0.003010893,0.200849257,0.044549038,0.174522293,0.004538217,0.14410828,0.02866242,0.178447452,0.003272727,0.089712919,0.004545455
1,0.185483015,0.051079135,0.249150743,0.017072679,0.031210191,0.023858811,0.199814225,0.006322868,0.106210191,0.06950716,0.216839172,0.008320064,0.189410828,0.035987261,0.231710191,0.004205742,0.09064992,0.005841308
1.5,0.224044586,0.033903956,0.28089172,0.016499408,0.049575372,0.047956476,0.221257962,0.004320934,0.120753715,0.070694022,0.228821656,0.035429936,0.209832803,0.041998408,0.2612293,0.000473684,0.103169856,0.000657895
2,0.206316348,0.032529848,0.257776008,0.026319137,0.040711253,0.03787155,0.179166667,0.008376958,0.1617569,0.070123538,0.184952229,0.054538217,0.170103503,0.041759554,0.239731687,0.001808612,0.108891547,0.002511962
2.5,0.197213376,0.014303834,0.378370488,0.049379542,0.028715499,0.021947983,0.26764862,0.004973053,0.197638004,0.072608996,0.274164013,0.075278662,0.244347134,0.057882166,0.351884554,0.005095694,0.1125,0.007077352
3,0.234288747,0.013153767,0.395780255,0.067064703,0.015339703,0.023673036,0.243232484,0.004648845,0.202786624,0.070764506,0.240366242,0.088455414,0.218113057,0.054976115,0.368075637,0.011885167,0.18476874,0.016507177
3.5,0.244532909,0.016488219,0.420010616,0.027974401,0.04668259,0.045621019,0.286889597,0.004367949,0.241799363,0.074426296,0.250398089,0.115764331,0.238574841,0.057683121,0.390609873,0.014684211,0.198305423,0.020394737
4,0.248036093,0.015327921,0.529803609,0.03158522,0.006794055,0.040737792,0.330679406,0.004784436,0.246284501,0.072939733,0.303861465,0.134673567,0.281767516,0.065207006,0.492717356,0.018875598,0.227013557,0.026216108
4.5,0.253397028,0.02252056,0.587367304,0.027450121,0.017011677,0.051353503,0.306316348,0.010085659,0.272107219,0.074017333,0.263296178,0.149203822,0.237420382,0.062340764,0.546251593,0.017052632,0.177671451,0.023684211
