Time,Operator,STDERR_Op,Venus-Ctrl,STERR-Venus-Ctrl,Operator-E,STDERR_Op,Venus-RNASEi-EcRNAP,STDERR-Venus-RNASEi
0,0,0,0,0,0,0,0,0
0.5,0.072175732,0.005435306,0.075313808,0.009193722,0.064330544,0.01268238,0.042364017,0.018828452
1,0.266213389,0.042415641,0.177824268,0.010920823,0.274058577,0.062435958,0.122384937,0.034518828
1.5,0.476464435,0.034759683,0.346757322,0.018049617,0.478033473,0.094404852,0.182008368,0.050209205
2,0.72541841,0.056298603,0.503138075,0.011470561,0.57165272,0.114379629,0.223587866,0.065115063
2.5,0.877615063,0.06869407,0.591004184,0.01182286,0.630230126,0.105029203,0.251046025,0.086297071
3,0.958682008,0.08190617,0.649058577,0.01073132,0.636506276,0.099837877,0.257322176,0.103556485
3.5,0.988493724,0.078952378,0.664748954,0.01236568,0.656380753,0.105021389,0.262029289,0.092573222
4,1.010460251,0.08249518,0.678870293,0.01747989,0.654811715,0.103208547,0.288702929,0.097280335
4.5,1.008368201,0.080212122,0.683054393,0.009978444,0.656903766,0.1016301,0.283211297,0.102771967
5,1.010983264,0.081087189,0.694037657,0.005824021,0.656903766,0.098888106,0.294979079,0.095711297
5.5,1.017259414,0.083126095,0.690899582,0.014644351,0.65376569,0.090879357,0.30125523,0.095711297
6,1.017259414,0.082002964,0.688284519,0.01182286,0.651150628,0.091359679,0.298901674,0.093357741
6.5,1.012552301,0.072811538,0.692991632,0.01095833,0.657949791,0.088063573,0.298117155,0.094142259
7,1.012552301,0.078751172,0.689330544,0.014072829,0.656903766,0.089976402,0.291056485,0.093357741
7.5,1.005753138,0.06987064,0.698221757,0.016103352,0.657426778,0.084208269,0.291056485,0.083943515
8,1,0.07501539,0.673640167,0.016009653,0.643828452,0.081531266,0.302824268,0.083158996
