Time,Operator,STDERR_Op,Op+CueR,STDERR_Op+CueR,Op+CueR+Cu,STDERR_Op+CueR+Cu,Operator-E,STDERR_Op,Op+CueR-E,STDERR_Op+CueR,Op+CueR+Cu-e,STDERR_Op+CueR+Cu
0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.072175732,0.005435306,0.054916318,0.015716505,0.041841004,0.012563193,0.064330544,0.01268238,0.014905858,0.019612971,0.015690377,0.063829787
1,0.266213389,0.042415641,0.034518828,0.008641586,0.069560669,0.007265923,0.274058577,0.062435958,0.050209205,0.012552301,0.049424686,0.039893617
1.5,0.476464435,0.034759683,0.031903766,0.018305439,0.101464435,0.016439575,0.478033473,0.094404852,0.076098326,0.010198745,0.072960251,0.199468085
2,0.72541841,0.056298603,0.046548117,0.02274353,0.119769874,0.019895112,0.57165272,0.114379629,0.077667364,0.008629707,0.084728033,0.063829787
2.5,0.877615063,0.06869407,0.043410042,0.022379804,0.133891213,0.020384075,0.630230126,0.105029203,0.082374477,0.01333682,0.079236402,0.02393617
3,0.958682008,0.08190617,0.048117155,0.02191666,0.136506276,0.023552992,0.636506276,0.099837877,0.085512552,0.011767782,0.101987448,0.095744681
3.5,0.988493724,0.078952378,0.055962343,0.023523939,0.1291841,0.030644251,0.656380753,0.105021389,0.094926778,0.010198745,0.104341004,0.103723404
4,1.010460251,0.08249518,0.057008368,0.025126385,0.142259414,0.025707543,0.654811715,0.103208547,0.094142259,0.009414226,0.098849372,0.111702128
4.5,1.008368201,0.080212122,0.05125523,0.024177666,0.138075314,0.028169944,0.656903766,0.1016301,0.078451883,0.009414226,0.101987448,0.063829787
5,1.010983264,0.081087189,0.050732218,0.023801381,0.103556485,0.027221786,0.656903766,0.098888106,0.083943515,0.005491632,0.102771967,0.119680851
5.5,1.017259414,0.083126095,0.043410042,0.02650905,0.107217573,0.031385111,0.65376569,0.090879357,0.080020921,0.010983264,0.105910042,0.02393617
6,1.017259414,0.082002964,0.044979079,0.028320055,0.113493724,0.027984837,0.651150628,0.091359679,0.084728033,0.001569038,0.095711297,0.127659574
6.5,1.012552301,0.072811538,0.039225941,0.021646655,0.099895397,0.026040563,0.657949791,0.088063573,0.075313808,0.009414226,0.098849372,0.095744681
7,1.012552301,0.078751172,0.044979079,0.026040563,0.109309623,0.035852119,0.656903766,0.089976402,0.074529289,0.010198745,0.098849372,0.111702128
7.5,1.005753138,0.06987064,0.040794979,0.024907701,0.115062762,0.025771308,0.657426778,0.084208269,0.085512552,0.000784519,0.107479079,0.135638298
8,1,0.07501539,0.048117155,0.023278466,0.09832636,0.028794204,0.643828452,0.081531266,0.075313808,0.004707113,0.098849372,0.04787234
